#locus_id	chrom	start	end	strand	genome_build	l1_family	cancer_type	n_samples_detected	coordinate_confidence
L1SOI-chr12-062703201-062703202-+	chr12	62703201	62703202	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-012254721-012254722-+	chr7	12254721	12254722	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-026256838-026256839--	chr11	26256838	26256839	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-127248429-127248430-+	chr11	127248429	127248430	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-116170178-116170179--	chr2	116170178	116170179	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr20-006997567-006997568--	chr20	6997567	6997568	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-085236210-085236215--	chrX	85236210	85236215	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-096580662-096580663-+	chr3	96580662	96580663	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-242496067-242496068--	chr1	242496067	242496068	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-139140155-139140156--	chr4	139140155	139140156	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-115905135-115905151--	chr6	115905135	115905151	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-170810386-170810387--	chr1	170810386	170810387	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-055831130-055831131--	chr10	55831130	55831131	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-102819848-102819849-+	chr11	102819848	102819849	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr19-029225318-029225320--	chr19	29225318	29225320	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-086181935-086181936-+	chrX	86181935	86181936	+	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr1-175591627-175591628--	chr1	175591627	175591628	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr19-032039358-032039359-+	chr19	32039358	32039359	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-118028684-118028685-+	chr3	118028684	118028685	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-159143168-159143169-+	chr4	159143168	159143169	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-035351984-035351985--	chr8	35351984	35351985	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-006543011-006543012--	chrX	6543011	6543012	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-148617584-148617585--	chr2	148617584	148617585	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr9-002901789-002901790--	chr9	2901789	2901790	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-017440906-017440907-+	chrX	17440906	17440907	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-058541170-058541171-+	chr10	58541170	58541171	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-040338995-040338996--	chr14	40338995	40338996	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-136645740-136645741-+	chr8	136645740	136645741	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-216268143-216268144-+	chr2	216268143	216268144	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-160556956-160556957--	chr4	160556956	160556957	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-015323392-015323393-+	chr10	15323392	15323393	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-022266685-022266686-+	chr2	22266685	22266686	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-104893055-104893056-+	chr13	104893055	104893056	+	hg19	L1HS	Breast-DCIS	1	high
L1SOI-chr15-032429911-032429912-+	chr15	32429911	32429912	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-100167329-100167330--	chr5	100167329	100167330	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr9-075316952-075316958-+	chr9	75316952	75316958	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-023679573-023679574-+	chr5	23679573	23679574	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-099650485-099650486-+	chr1	99650485	99650486	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-157792294-157792295--	chr3	157792294	157792295	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-190430695-190430696-+	chr3	190430695	190430696	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-085638609-085638610--	chr14	85638609	85638610	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-104487312-104487313--	chr13	104487312	104487313	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr20-014937696-014937705-+	chr20	14937696	14937705	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-141642228-141642229-+	chr7	141642228	141642229	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-194693875-194693889--	chr1	194693875	194693889	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-039440143-039440144-+	chr13	39440143	39440144	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr18-066557849-066557850--	chr18	66557849	66557850	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-019402492-019402493-+	chr4	19402492	19402493	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-054175460-054175461--	chr6	54175460	54175461	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-082792613-082792614-+	chr8	82792613	82792614	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-011002755-011002756-+	chrX	11002755	11002756	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-050332825-050332826--	chrX	50332825	50332826	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-106571985-106571986--	chrX	106571985	106571986	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-127439246-127439247-unknown	chrX	127439246	127439247	unknown	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-074988245-074988246-+	chrX	74988245	74988246	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-166219319-166219320-+	chr5	166219319	166219320	+	hg19	L1HS	Breast-DCIS	1	high
L1SOI-chr1-036463748-036463749--	chr1	36463748	36463749	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-171936008-171936009--	chr1	171936008	171936009	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr21-021920719-021920720-+	chr21	21920719	21920720	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-032857634-032857635--	chrX	32857634	32857635	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-024187283-024187284-+	chr14	24187283	24187284	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-023174036-023174037--	chr5	23174036	23174037	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-100830532-100830533-+	chr14	100830532	100830533	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-006062015-006062016--	chr3	6062015	6062016	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-112905999-112906000--	chr8	112905999	112906000	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-071905260-071905261--	chr13	71905260	71905261	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-210721169-210721170-+	chr2	210721169	210721170	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-169414208-169414209--	chr5	169414208	169414209	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-080838440-080838441--	chr12	80838440	80838441	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-069039812-069039813--	chr13	69039812	69039813	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-093378986-093378987-+	chr13	93378986	93378987	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-209693446-209693447--	chr2	209693446	209693447	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-046008424-046008425--	chr4	46008424	46008425	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-018249459-018249474-+	chr5	18249459	18249474	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-025836377-025836378-+	chr5	25836377	25836378	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-039906461-039906462--	chr5	39906461	39906462	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-044662070-044662071--	chr5	44662070	44662071	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-077070491-077070492-+	chr6	77070491	77070492	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-086621778-086621779-+	chr6	86621778	86621779	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-016997479-016997480--	chr8	16997479	16997480	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-130464968-130464969-+	chrX	130464968	130464969	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-097286992-097287002--	chr1	97286992	97287002	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-049603817-049603818--	chr10	49603817	49603818	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-138030702-138030703-+	chr2	138030702	138030703	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr21-039421421-039421422--	chr21	39421421	39421422	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-002577110-002577111--	chr3	2577110	2577111	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-147303250-147303251-+	chr3	147303250	147303251	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-065800319-065800320--	chr6	65800319	65800320	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-131295152-131295153--	chr6	131295152	131295153	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-136365682-136365683-+	chr6	136365682	136365683	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-053810565-053810566-+	chr7	53810565	53810566	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-123914486-123914487-+	chr7	123914486	123914487	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-111602304-111602305-+	chr8	111602304	111602305	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-150773110-150773111--	chrX	150773110	150773111	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-186431539-186431540-+	chr1	186431539	186431540	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-066181235-066181236--	chr10	66181235	66181236	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr5-024490115-024490116-+	chr5	24490115	24490116	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-138618852-138618853--	chrX	138618852	138618853	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-137209647-137209648-+	chr3	137209647	137209648	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr9-085550389-085550390--	chr9	85550389	85550390	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-165801950-165801951--	chr4	165801950	165801951	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-004105960-004105967--	chr1	4105960	4105967	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-229847695-229847696-+	chr1	229847695	229847696	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-019523142-019523143--	chr11	19523142	19523143	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-119741519-119741520--	chr12	119741519	119741520	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-070738786-070738787--	chr14	70738786	70738787	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr16-025715786-025715787--	chr16	25715786	25715787	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr16-071284717-071284718--	chr16	71284717	71284718	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr18-068300461-068300462--	chr18	68300461	68300462	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-021696037-021696038-+	chr2	21696037	21696038	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr20-044244794-044244795--	chr20	44244794	44244795	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr21-041915754-041915755--	chr21	41915754	41915755	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-051847894-051847895-+	chr6	51847894	51847895	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-133010665-133010666--	chr8	133010665	133010666	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-142916623-142916624--	chr8	142916623	142916624	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-012013776-012013777-+	chrX	12013776	12013777	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-084656946-084656947-+	chr14	84656946	84656947	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-108772558-108772559-+	chr12	108772558	108772559	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-235744230-235744233--	chr1	235744230	235744233	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-058122158-058122159-+	chr11	58122158	58122159	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr14-027083698-027083699--	chr14	27083698	27083699	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr16-009675656-009675657--	chr16	9675656	9675657	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-011720081-011720082--	chr2	11720081	11720082	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr20-058976645-058976648--	chr20	58976645	58976648	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-189493954-189493956--	chr4	189493954	189493956	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr8-108396461-108396462-+	chr8	108396461	108396462	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-010348762-010348763-+	chrX	10348762	10348763	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-066662075-066662076--	chr13	66662075	66662076	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr17-010315000-010315001--	chr17	10315000	10315001	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-081653437-081653438-+	chr4	81653437	81653438	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr15-027074243-027074251--	chr15	27074243	27074251	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-127459908-127459909-+	chr4	127459908	127459909	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-110641842-110641843-+	chr10	110641842	110641843	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-071163256-071163257--	chr7	71163256	71163257	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-072443685-072443695--	chr12	72443685	72443695	-	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr5-003676365-003676366-+	chr5	3676365	3676366	+	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr5-004122729-004122731--	chr5	4122729	4122731	-	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr6-028975507-028975508--	chr6	28975507	28975508	-	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr9-104524798-104524799-+	chr9	104524798	104524799	+	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr10-006568079-006568080--	chr10	6568079	6568080	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-081184381-081184382--	chr12	81184381	81184382	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-126032040-126032041--	chr2	126032040	126032041	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-008630990-008630991--	chr3	8630990	8630991	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-140846038-140846039-+	chr4	140846038	140846039	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-151270919-151270922-+	chr4	151270919	151270922	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-001390887-001390888-+	chr12	1390887	1390888	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-021980257-021980274--	chr2	21980257	21980274	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-050099973-050099974--	chr2	50099973	50099974	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-002635783-002635787--	chr3	2635783	2635787	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-054387722-054387723--	chr4	54387722	54387723	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr6-107677299-107677301-+	chr6	107677299	107677301	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-010659439-010659441-+	chr7	10659439	10659441	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr10-017096559-017096560-+	chr10	17096559	17096560	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr11-128249735-128249736--	chr11	128249735	128249736	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-239841374-239841375--	chr1	239841374	239841375	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr12-127156381-127156382--	chr12	127156381	127156382	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr18-058173223-058173224--	chr18	58173223	58173224	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr4-062245312-062245313-+	chr4	62245312	62245313	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr7-067977017-067977021--	chr7	67977017	67977021	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chrX-136419356-136419357--	chrX	136419356	136419357	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr1-147218043-147218058--	chr1	147218043	147218058	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-116187733-116187734-unknown	chr2	116187733	116187734	unknown	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr3-063206985-063206986-+	chr3	63206985	63206986	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr15-054509284-054509366--	chr15	54509284	54509366	-	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr18-004653291-004653292-+	chr18	4653291	4653292	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr13-112117106-112117107-+	chr13	112117106	112117107	+	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr8-071996195-071996196--	chr8	71996195	71996196	-	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr9-075297900-075297902--	chr9	75297900	75297902	-	hg19	L1HS	Breast-LobularCA	1	high
L1SOI-chr12-073536014-073536015-+	chr12	73536014	73536015	+	hg19	L1HS	Breast-AdenoCA	1	high
L1SOI-chr2-050467585-050467586-+	chr2	50467585	50467586	+	hg19	L1HS	Breast-AdenoCA	1	high
